inst_idx,program_dir,s,num_scenarios,rank_of_true_optimum,percentile_rank_of_true_optimum
0,programs/generated/gen_0000,2,9,2,25.0
1,programs/generated/gen_0001,2,9,2,25.0
2,programs/generated/gen_0002,8,6561,689,10.503048780487806
3,programs/generated/gen_0003,8,6561,689,10.503048780487806
4,programs/generated/gen_0004,6,729,51,7.0054945054945055
5,programs/generated/gen_0005,6,729,146,20.054945054945055
6,programs/generated/gen_0006,8,6561,1515,23.09451219512195
7,programs/generated/gen_0007,6,729,51,7.0054945054945055
8,programs/generated/gen_0008,8,6561,692,10.548780487804878
9,programs/generated/gen_0009,6,729,115,15.796703296703297
10,programs/generated/gen_0010,4,81,21,26.25
11,programs/generated/gen_0011,10,59049,0,0.0
12,programs/generated/gen_0012,4,81,16,20.0
13,programs/generated/gen_0013,2,9,2,25.0
14,programs/generated/gen_0014,4,81,14,17.5
15,programs/generated/gen_0015,6,729,110,15.10989010989011
16,programs/generated/gen_0016,6,729,4,0.5494505494505495
17,programs/generated/gen_0017,10,59049,20035,33.93002303210947
18,programs/generated/gen_0018,8,6561,1024,15.609756097560975
19,programs/generated/gen_0019,2,9,0,0.0
20,programs/generated/gen_0020,8,6561,1021,15.564024390243903
21,programs/generated/gen_0021,8,6561,686,10.457317073170731
22,programs/generated/gen_0022,2,9,2,25.0
23,programs/generated/gen_0023,8,6561,1746,26.615853658536587
24,programs/generated/gen_0024,4,81,19,23.75
25,programs/generated/gen_0025,2,9,0,0.0
26,programs/generated/gen_0026,8,6561,684,10.426829268292684
27,programs/generated/gen_0027,10,59049,6193,10.488077496274217
28,programs/generated/gen_0028,4,81,15,18.75
29,programs/generated/gen_0029,10,59049,370,0.6266088605879963
30,programs/generated/gen_0030,8,6561,71,1.0823170731707317
31,programs/generated/gen_0031,4,81,16,20.0
32,programs/generated/gen_0032,2,9,0,0.0
33,programs/generated/gen_0033,8,6561,686,10.457317073170731
34,programs/generated/gen_0034,6,729,204,28.021978021978022
35,programs/generated/gen_0035,2,9,0,0.0
36,programs/generated/gen_0036,4,81,21,26.25
37,programs/generated/gen_0037,2,9,0,0.0
38,programs/generated/gen_0038,2,9,0,0.0
39,programs/generated/gen_0039,2,9,0,0.0
40,programs/generated/gen_0040,8,6561,1510,23.01829268292683
41,programs/generated/gen_0041,4,81,20,25.0
42,programs/generated/gen_0042,8,6561,1515,23.09451219512195
43,programs/generated/gen_0043,6,729,113,15.521978021978022
44,programs/generated/gen_0044,2,9,2,25.0
45,programs/generated/gen_0045,10,59049,6184,10.47283565912478
46,programs/generated/gen_0046,10,59049,6180,10.466061509280586
47,programs/generated/gen_0047,4,81,20,25.0
48,programs/generated/gen_0048,8,6561,71,1.0823170731707317
49,programs/generated/gen_0049,8,6561,689,10.503048780487806
50,programs/generated/gen_0050,2,9,0,0.0
51,programs/generated/gen_0051,2,9,2,25.0
52,programs/generated/gen_0052,4,81,20,25.0
53,programs/generated/gen_0053,2,9,0,0.0
54,programs/generated/gen_0054,2,9,2,25.0
55,programs/generated/gen_0055,8,6561,689,10.503048780487806
56,programs/generated/gen_0056,4,81,19,23.75
57,programs/generated/gen_0057,6,729,51,7.0054945054945055
58,programs/generated/gen_0058,4,81,16,20.0
59,programs/generated/gen_0059,10,59049,12824,21.71792440048774
60,programs/generated/gen_0060,4,81,19,23.75
61,programs/generated/gen_0061,8,6561,1320,20.121951219512194
62,programs/generated/gen_0062,4,81,19,23.75
63,programs/generated/gen_0063,8,6561,1097,16.722560975609756
64,programs/generated/gen_0064,6,729,21,2.8846153846153846
65,programs/generated/gen_0065,6,729,110,15.10989010989011
66,programs/generated/gen_0066,6,729,111,15.247252747252746
67,programs/generated/gen_0067,4,81,16,20.0
68,programs/generated/gen_0068,8,6561,71,1.0823170731707317
69,programs/generated/gen_0069,6,729,155,21.291208791208792
70,programs/generated/gen_0070,10,59049,13345,22.60025741769408
71,programs/generated/gen_0071,2,9,2,25.0
72,programs/generated/gen_0072,2,9,0,0.0
73,programs/generated/gen_0073,2,9,2,25.0
74,programs/generated/gen_0074,2,9,2,25.0
75,programs/generated/gen_0075,8,6561,38,0.5792682926829268
76,programs/generated/gen_0076,8,6561,681,10.38109756097561
77,programs/generated/gen_0077,6,729,147,20.192307692307693
78,programs/generated/gen_0078,4,81,16,20.0
79,programs/generated/gen_0079,2,9,2,25.0
80,programs/generated/gen_0080,6,729,111,15.247252747252746
81,programs/generated/gen_0081,6,729,51,7.0054945054945055
82,programs/generated/gen_0082,2,9,0,0.0
83,programs/generated/gen_0083,10,59049,13345,22.60025741769408
84,programs/generated/gen_0084,6,729,51,7.0054945054945055
85,programs/generated/gen_0085,2,9,0,0.0
86,programs/generated/gen_0086,10,59049,414,0.7011245088741362
87,programs/generated/gen_0087,2,9,0,0.0
88,programs/generated/gen_0088,10,59049,6170,10.449126134670099
89,programs/generated/gen_0089,4,81,21,26.25
90,programs/generated/gen_0090,10,59049,6193,10.488077496274217
91,programs/generated/gen_0091,4,81,21,26.25
92,programs/generated/gen_0092,4,81,15,18.75
93,programs/generated/gen_0093,6,729,115,15.796703296703297
94,programs/generated/gen_0094,6,729,3,0.41208791208791207
95,programs/generated/gen_0095,4,81,16,20.0
96,programs/generated/gen_0096,2,9,2,25.0
97,programs/generated/gen_0097,6,729,112,15.384615384615385
98,programs/generated/gen_0098,10,59049,13476,22.82211082509145
99,programs/generated/gen_0099,10,59049,6186,10.476222734046877
100,programs/generated/gen_0100,8,6561,176,2.682926829268293
101,programs/generated/gen_0101,6,729,139,19.093406593406595
102,programs/generated/gen_0102,6,729,51,7.0054945054945055
103,programs/generated/gen_0103,4,81,21,26.25
104,programs/generated/gen_0104,6,729,112,15.384615384615385
105,programs/generated/gen_0105,4,81,14,17.5
106,programs/generated/gen_0107,4,81,14,17.5
107,programs/generated/gen_0108,2,9,2,25.0
108,programs/generated/gen_0109,10,59049,16809,28.466671182766564
109,programs/generated/gen_0110,10,59049,14854,25.155805446416476
110,programs/generated/gen_0111,8,6561,689,10.503048780487806
111,programs/generated/gen_0112,10,59049,6186,10.476222734046877
112,programs/generated/gen_0113,8,6561,686,10.457317073170731
113,programs/generated/gen_0114,8,6561,1085,16.539634146341463
114,programs/generated/gen_0115,6,729,147,20.192307692307693
115,programs/generated/gen_0116,4,81,15,18.75
116,programs/generated/gen_0117,4,81,16,20.0
117,programs/generated/gen_0118,2,9,0,0.0
118,programs/generated/gen_0119,2,9,2,25.0
119,programs/generated/gen_0120,2,9,2,25.0
120,programs/generated/gen_0121,8,6561,1082,16.49390243902439
121,programs/generated/gen_0122,10,59049,279,0.4724969516325701
122,programs/generated/gen_0123,6,729,157,21.565934065934066
123,programs/generated/gen_0124,10,59049,0,0.0
124,programs/generated/gen_0125,4,81,15,18.75
125,programs/generated/gen_0126,6,729,112,15.384615384615385
126,programs/generated/gen_0127,8,6561,71,1.0823170731707317
127,programs/generated/gen_0128,6,729,110,15.10989010989011
128,programs/generated/gen_0129,6,729,51,7.0054945054945055
129,programs/generated/gen_0130,2,9,0,0.0
130,programs/generated/gen_0131,10,59049,0,0.0
131,programs/generated/gen_0132,4,81,19,23.75
132,programs/generated/gen_0133,4,81,16,20.0
133,programs/generated/gen_0134,10,59049,13482,22.832272049857743
134,programs/generated/gen_0135,8,6561,1515,23.09451219512195
135,programs/generated/gen_0136,6,729,51,7.0054945054945055
136,programs/generated/gen_0137,4,81,16,20.0
137,programs/generated/gen_0138,8,6561,1024,15.609756097560975
138,programs/generated/gen_0139,10,59049,6204,10.506706408345753
139,programs/generated/gen_0140,8,6561,692,10.548780487804878
140,programs/generated/gen_0141,2,9,0,0.0
141,programs/generated/gen_0142,6,729,6,0.8241758241758241
142,programs/generated/gen_0143,4,81,15,18.75
143,programs/generated/gen_0144,2,9,0,0.0
144,programs/generated/gen_0145,6,729,147,20.192307692307693
145,programs/generated/gen_0146,10,59049,20039,33.936797181953665
146,programs/generated/gen_0147,6,729,111,15.247252747252746
147,programs/generated/gen_0148,6,729,155,21.291208791208792
148,programs/generated/gen_0149,4,81,20,25.0
149,programs/generated/gen_0150,2,9,0,0.0
150,programs/generated/gen_0151,8,6561,6,0.09146341463414634
151,programs/generated/gen_0152,6,729,51,7.0054945054945055
152,programs/generated/gen_0153,8,6561,71,1.0823170731707317
153,programs/generated/gen_0154,4,81,15,18.75
154,programs/generated/gen_0155,8,6561,1085,16.539634146341463
155,programs/generated/gen_0156,8,6561,1024,15.609756097560975
156,programs/generated/gen_0157,8,6561,71,1.0823170731707317
157,programs/generated/gen_0158,10,59049,13506,22.87291694892291
158,programs/generated/gen_0159,8,6561,692,10.548780487804878
159,programs/generated/gen_0160,2,9,2,25.0
160,programs/generated/gen_0161,6,729,154,21.153846153846153
161,programs/generated/gen_0162,4,81,16,20.0
162,programs/generated/gen_0163,8,6561,692,10.548780487804878
163,programs/generated/gen_0164,4,81,15,18.75
164,programs/generated/gen_0165,6,729,111,15.247252747252746
165,programs/generated/gen_0166,4,81,16,20.0
166,programs/generated/gen_0167,10,59049,6193,10.488077496274217
167,programs/generated/gen_0168,2,9,2,25.0
168,programs/generated/gen_0169,8,6561,1085,16.539634146341463
169,programs/generated/gen_0170,8,6561,692,10.548780487804878
170,programs/generated/gen_0171,8,6561,681,10.38109756097561
171,programs/generated/gen_0172,4,81,16,20.0
172,programs/generated/gen_0173,2,9,0,0.0
173,programs/generated/gen_0174,4,81,15,18.75
174,programs/generated/gen_0175,8,6561,71,1.0823170731707317
175,programs/generated/gen_0176,4,81,15,18.75
176,programs/generated/gen_0177,10,59049,0,0.0
177,programs/generated/gen_0178,2,9,0,0.0
178,programs/generated/gen_0179,6,729,51,7.0054945054945055
179,programs/generated/gen_0180,10,59049,0,0.0
180,programs/generated/gen_0181,4,81,20,25.0
181,programs/generated/gen_0182,10,59049,13345,22.60025741769408
182,programs/generated/gen_0183,6,729,115,15.796703296703297
183,programs/generated/gen_0184,4,81,21,26.25
